	100%		백퍼센트	2012-09-18	TOP Media	4	7	Perfection	Yes
	14U		원포유	2017-04-17	BG	14	14		No
	1TEAM		원팀	2019-03-27	LiveWorks	5	5		No
Profile	1the9		원더나인	2019-02-09	MBK	9	9		Yes
	24K		투포케이	2012-09-06	Choeun	5	6	24U	Yes
	2AM		투에이엠	2008-06-21	JYP, Big Hit	4	4	I Am	No
	2PM		투피엠	2008-07-04	JYP	6	7	Hottest	Yes
	2Z	Tuzi	투지	2020-01-14	Morph	5	5		Yes
	8Eight		에이트	2007-09-06	Big Hit	3	3	Sweet Voice	No
	8TURN		에잇턴	2023-01-30	MNH	8	8		Yes
	A-JAX		에이젝스	2012-06-01	DSP	5	7	A-LIGHT	No
	A.C.E	ACE	에이스	2017-05-23	Beat	5	5	Choice	Yes
	A.cian		에이션	2012-10-10	Wings	4	5		No
	A6P		에이식스피	2015-05-20	DS	6	6		No
Profile	AB6IX		에이비식스	2019-05-22	Brand New	4	5	ABNEW	Yes
	ABLUE		에이블루	2022-10-23	J-Star	7	6	BLUEVERY	Yes
Profile	AIMERS		에이머스	2022-11-17	Hyper Rhythm	6	6	AIMING	Yes
	AlphaBat		알파벳	2013-11-14	Simtong	5	9		Yes
	AMPERS&ONE		앰퍼샌드원	2023-11-15	FNC	7	7		Yes
	ANTARES		안타레스	2023-04-16	J-Star	6	6		Yes
	ARGON		아르곤	2019-03-11	MSH	6	6	A-Rang	Yes
	ASTRO		아스트로	2016-02-23	Fantagio	4	6	AROHA	Yes
	ATBO		에이티비오	2022-07-27	IST	7	7	BOAT	Yes
Profile	ATEEZ		에이티즈	2018-10-24	KQ	8	8		Yes
	AWEEK		어위크	2019-01-31	Illusion	7	7		Yes
Profile	B.A.P	BAP	비에이피	2012-01-27	TS	6	6	BABY	No
	B.Heart		비하트	2017-01-25	Poong	4	4		Yes
Profile	B.I.G		비아이지	2014-07-09	GH	4	5		Yes
	B.O.Y		비오브유	2020-01-20	Music Works	2	2		Yes
Profile	B1A4		비원에이포	2010-04-19	WM	5	5	BANA	Yes
	BAE173		비에이이173	2020-11-19	PocketDol	9	9		Yes
	Be.A		비에이	2017-05-25	Chrome	3	5		Yes
	Beatwin		비트윈	2014-01-06	Elen	2	6		Hiatus
Profile	BIGBANG		빅뱅	2006-08-19	YG	4	5	VIP	Yes
	Bigflo		빅플로	2014-07-19	HO	5	5		Yes
	BIGSTAR		빅스타	2012-07-12	Brave	5	5		No
	Black Level		블랙 레벨	2022-02-26	VT	2	6	WE.B	Hiatus
	BLACK6IX		블랙식스	2017-04-07	BLACK HOLE	6	6		Yes
	Blanc7		블랑세븐	2017-03-03	Jackpot	7	7	Prism	No
	BLANK2Y		블랭키	2022-05-24	Keystone	9	9		Yes
Profile	BLITZERS		블리처스	2021-05-12	Wuzo	7	7		Yes
	BLK		비엘케이	2017-11-28	Byking	7	7		No
Profile	Block B		블락비	2011-04-15	KQ	7	7	BBC	Yes
	Boyfriend		보이프렌드	2011-05-26	Starship	6	6	Bestfriend	No
Profile	BOYNEXTDOOR		보이넥스트도어	2023-05-30	KOZ	6	6		Yes
	Boys Republic		소년공화국	2013-06-03	Happy Tribe, Universal	5	5	Royal Family	Hiatus
Profile	BtoB		비투비	2012-03-21	Cube	6	7	Melody	Yes
Profile	BTS	Bangtan Boys	방탄소년단	2013-06-13	Big Hit	7	7	ARMY	Yes
	BXB		비엑스비	2023-01-30	Wolfburn	5	5		Yes
	BXK	Boys X King	비엑스케이	2020-11-02	New Planet	6	6		Yes
	C-Clown		씨클라운	2012-06-19	Yedang	6	6	Crown	No
	Catch The Young		캐치더영	2023-11-01	Evermore	5	5		Yes
Profile	CICI		씨씨	2019-06-27	UPVOTE	4	4		No
Profile	Ciipher		싸이퍼	2021-03-15	Rain	7	7		Yes
Profile	CIX		씨아이엑스	2019-07-23	C9	5	5		Yes
Profile	CMDM		커맨더맨	2023-04-27	Command the M	6	6		Yes
	CNBLUE		씨엔블루	2010-01-14	FNC	4	4	Boice	Yes
Profile	CRAVITY		크래비티	2020-04-14	Starship	9	9		Yes
	CROSS GENE		크로스진	2012-07-08	Amuse	5	6	Chromosome	Yes
	D-Crunch		디크런치	2018-08-06	All-S	9	9		Yes
	D.COY		디코이	2020-02-19	Rolling	5	5		Yes
Profile	D1CE		디원스	2019-08-01	Happyface	5	5	Don1y	Yes
	Dalmatian	DMTN	달마시안	2010-09-01	Monkey Funch	7	7	Dalmate	No
	DAY6		데이식스	2015-09-07	JYP	5	6		Yes
Profile	DKB	Darkbee	다크비	2020-02-03	Brave	9	9		Yes
	DONGKIZ		동키즈	2019-04-24	Dongyo	5	5		Yes
Profile	DRIPPIN		드리핀	2020-10-26	Woollim	7	7		Yes
	Dustin		더스틴	2020-01-06	LPA	7	7	The Sten	Yes
	E'LAST		엘라스트	2020-06-09	E Entertainment	8	8		Yes
Profile	ENHYPEN		엔하이픈	2020-11-30	Be:lift	7	7	ENGENE	Yes
Profile	ENOi		이엔오아이	2019-04-19	KITHEWHALE	7	7		No
Profile	EPEX		이펙스	2021-06-08	C9	8	8	ZENITH	Yes
	EVNNE		이븐	2023-09-19	Jellyfish	7	7		Yes
Profile	EXO		엑소	2012-04-08	SM	9	12	EXO-L	Yes
	F.able		페이블	2020-06-04	Haerium	5	5		Yes
	Fantasy Boys		판타지보이즈	2023-09-21	PocketDol	11	12	Bandi	Yes
	Fly to the Sky		플라이 투 더 스카이	1999-11-21	SM, H2	2	2	Fly High	Yes
	FTISLAND		에프티 아일랜드	2007-06-07	FNC	4	5	Primadonna	Yes
	g.o.d.		지오디	1999-01-26	JYP, SidusHQ	5	5	Fan God	Yes
Profile	Ghost9		고스트나인	2020-09-23	Maroo	7	9		Yes
Profile	Golden Child		골든 차일드	2017-08-28	Woollim	10	11		Yes
Profile	GOT7		갓세븐	2014-01-16	JYP	7	7	I GOT7	Hiatus
	GreatGuys		멋진녀석들	2017-08-25	DNA	9	9	Grace	Yes
	H.B.Y	Hot Blood Youth	열혈남아	2017-08-16	Rainbow	5	5		Yes
	H.O.T		에이치오티	1996-09-07	SM	5	5	Club H.O.T	No
	HALO		헤일로	2014-07-26	Histar	6	6		Yes
	HAWW		하우	2023-02-23	Biscuit	7	7		Yes
	HIGH4		하이포	2014-04-08	NAP	4	4		No
	Highlight	Beast	하이라이트	2009-10-14	Around Us	4	6	B2uty	Yes
	HISTORY		히스토리	2013-04-26	LOEN	5	5	Storia	No
	Homme		옴므	2010-06-28	Big Hit	2	2		No
	Honeyst		허니스트	2017-05-17	FNC	4	4		Yes
	Hotshot		핫샷	2014-10-29	Star Crew	5	6		No
Profile	iKON		아이콘	2015-09-15	YG	6	7	iKONIC	Yes
	Imfact		임팩트	2016-01-27	Star Empire	5	5		Yes
	Infinite		인피니트	2010-06-09	Woollim	6	7	Inspirit	Yes
	INX		인엑스	2016-08-02	NA	5	5		No
	IZ		아이즈	2017-08-31	Music K	4	4		Yes
Profile	JBJ		제이비제이	2017-10-18	Fave	6	6		No
	JBJ95		제이비제이95	2018-10-30	Hunus	2	2		Yes
	JJCC		제이제이씨씨	2014-03-13	Jackie Chan Group	5	6		No
Profile	JUST B		저스트비	2021-06-30	Bluedot	6	6	ONLY B	Yes
	Jwiiver		제이위버	2022-02-17	JTG	7	7		No
	JYJ		제이와이제이	2010-09-08	C-JeS	3	3	Cassiopeia	Yes
	K-Much		케이머치	2014-01-07	Chrome	4	5		No
Profile	Kingdom		킹덤	2021-02-18	GF	7	8	Kingmakers	Yes
Profile	KNK		크나큰	2016-03-03	YNB	5	5	Tinker Bell	Yes
Profile	Limitless		리미트리스	2019-07-09	ONO	4	4		Yes
	LU:KUS		루커스	2014-07-04	JWK	4	5		Yes
	Lucente		루첸트	2018-09-18	NOGA	7	7		Yes
	LUMINOUS	LMN	루미너스	2021-09-09	Barunson	4	4		Yes
	LUN8		루네이트	2023-06-15	Fantagio	8	8		Yes
	M.I.B		엠아이비	2011-10-26	Jungle	4	4		No
Profile	M.O.N.T	MONT	몬트	2019-01-04	FM	3	3		Yes
	Madtown		매드타운	2014-10-06	GNI	7	7		No
	MAP6		맵식스	2015-11-10	DreamT	5	5		Yes
	Masc		마스크	2016-08-19	JJ Holic	4	8		Yes
	MBLAQ		엠블랙	2009-10-14	J. Tune	3	5	A+	Yes
Profile	MCND		엠씨엔디	2020-02-27	TOP Media	5	5		Yes
	Mfect	M.fect	엠펙트	2015-04-27	Midas	5	5		Yes
Profile	MIRAE		미래소년	2021-03-17	DSP	7	7		Yes
Profile	MONSTA X		몬스타엑스	2014-05-14	Starship	6	7	Monbebe	Yes
	MR.MR		미스터미스터	2012-10-04	WinningIn	6	5		Yes
Profile	MustB		머스트비	2019-01-21	MustM	7	7		Yes
	MVP		엠브이피	2017-03-13	PH	6	7		Yes
	MXM		엠엑스엠	2017-09-06	Brand New	2	2		Yes
	MY.st		마이스트	2020-03-26	MYStar	5	5		No
	MYNAME		마이네임	2011-10-27	H2	5	5	MYgirl	Yes
	Myteen		마이틴	2017-07-26	The Music Works	6	7		No
	N-Sonic		엔소닉	2011-10-05	C2K	6	5		No
	N-Train		엔트레인	2011-05-27	MediaLine	5	5		No
	N.CUS		엔쿠스	2019-08-27	Kyuri	12	12		Yes
	N.Flying		엔플라잉	2015-05-20	FNC	4	4	N.Fia	Yes
	n.SSign		엔싸인	2023-08-09	n.CH	10	10		Yes
Profile	NCT		엔시티	2016-04-09	SM	23	23	NCTzen	Yes
Profile	Newkidd		뉴키드	2019-04-25	J-FLO	7	7		Yes
Profile	NINE.i		나인아이	2022-03-30	FirstOne	10	10		Yes
	Noir		느와르	2018-04-09	LUK	9	9		Yes
	NTB		엔티비	2018-05-28	High Choice	6	6		Yes
Profile	NU'EST		뉴이스트	2012-03-15	Pledis	5	5	LOΛΕ	Yes
	OFF THE CUFF		오프더커프	2020-04-02	Purple	5	5		No
	ONE PACT		원팩트	2023-11-30	ARMADA	5	5		Yes
Profile	Oneus		원어스	2019-01-09	RBW	5	6		Yes
Profile	ONF		온앤오프	2017-08-02	WM	6	7		Yes
Profile	OnlyOneOf		온리원오브	2019-05-28	RSVP	6	7		Yes
Profile	P1Harmony	P1H	피원하모니	2020-10-28	FNC	6	6		Yes
Profile	PENTAGON	PTG	펜타곤	2016-10-10	Cube	9	10		Yes
	Phantom		팬텀	2011-11-25	Brand New, RBW	3	3		No
	POW		파우	2023-10-11	GRID	5	5	POWER	Yes
	RAINZ		레인즈	2017-10-12	(Genie)	7	7	Rainzer	No
Profile	RIIZE		라이즈	2023-09-04	SM	7	7		Yes
	Road Boyz		로드 보이즈	2015-11-17	Coconut	5	5		No
	ROMEO		로미오	2015-11-04	CT	7	7		Yes
	SECHSKIES	6KIES	젝스키스	1997-04-15	DSP, YG	5	6	Yellowkies	Yes
	Seven O'Clock	SOC	세븐어클락	2017-03-16	Staro, KDH	5	6		No
Profile	Seventeen	SVT	세븐틴	2015-05-26	Pledis	13	13	Carat	Yes
Profile	SF9		에스에프나인	2016-10-05	FNC	9	9	Fantasy	Yes
	SG Wannabe		SG 워너비	2004-01-20	B2M	3	4		Yes
Profile	SHINee		샤이니	2008-05-25	SM	4	5	Shawol	Yes
	Shinhwa		신화	1998-03-24	SM, Good, Shinhwa	6	6	Shinhwa Changjo	Yes
	SIGMA		시그마	2021-01-26	Pluswin	4	4		Yes
Profile	Signal		시그널	2019-08-28	J-Star	4	4		Yes
Profile	SKYE	IN2IT	스카이	2017-10-26	MMO	6	8		Yes
	Snuper		스누퍼	2015-11-16	Widmay	6	6	Swing	No
	Spectrum		스펙트럼	2018-05-09	WYNN	6	7		No
	Speed		스피드	2013-01-15	MBK	7	7		No
	SS501		더블에스오공일	2005-06-08	DSP, CI	5	5	Triple S	No
Profile	Stray Kids	SKZ	스트레이 키즈	2018-03-25	JYP	8	9	STAY	Yes
Profile	Super Junior	SJ	슈퍼주니어	2005-11-06	SM	11	12	ELF	Yes
	SUPERKIND		슈퍼카인드	2022-06-20	Deep Studio	7	7	Players	Yes
Profile	SuperM		슈퍼엠	2019-10-04	SM	7	7		Yes
	Supernova		초신성	2007-09-21	CJ E&M	5	6		Yes
	Target		타겟	2018-01-23	TNS	7	7		Yes
	Teen Top		틴탑	2010-07-09	TOP Media	5	6	Angel	Yes
	TEMPEST		템페스트	2022-03-02	Yuehua	7	7	iE	Yes
Profile	TFN	T1419	티에프앤	2021-01-11	MLD	9	9		Yes
Profile	The Boyz		더보이즈	2017-12-31	Cre.Ker	11	12		Yes
	The Eastlight		더 이스트라이트	2016-11-03	MediaLine	6	6		No
	The Legend		전설	2014-07-09	SS	5	5		No
	THE MAN BLK		더 맨 블랙	2018-11-15	Stardium	10	10		Yes
Profile	The Wind		더윈드	2023-05-15	With US	6	7		Yes
Profile	TNX		티엔엑스	2022-05-17	P NATION	6	6	THX	Yes
Profile	TOO		티오오	2020-04-01	n.CH	10	10		Yes
	ToppDogg		탑독	2013-10-22	Stardom, Hunus	5	13	ToppKlass	No
	TRAX		트랙스	2004-07-20	SM	2	4		No
Profile	TRCNG		티알씨엔지	2017-10-10	TS	10	10		No
Profile	Treasure		트레저	2020-08-07	YG	12	12		Yes
	TREI		트레이	2019-02-19	Banana	3	3		No
	TRENDZ		트렌드지	2022-01-05	Interpark	7	7		Yes
	TST	Top Secret	일급비밀	2017-01-04	JSL	5	7		Yes
	Turbo		터보	1995-09-06	MBK, Turbo Co.	3	2		Hiatus
	TVXQ!	TVXQ	동방신기	2003-12-26	SM	2	5	Cassiopeia	Yes
Profile	TWS		투어스	2024-01-22	Pledis	6	6		Yes
Profile	TXT		투모로우바이투게더	2019-03-04	Big Hit	5	5		Yes
	U-KISS		유키스	2008-08-28	NH Media	6	6	Kissme	Yes
	UNB		유앤비	2018-04-07	Unit Culture	9	9		No
	UNIQ		유니크	2014-10-20	Yuehua	5	5	Unicorn	Hiatus
Profile	UNVS		유니버스	2020-02-23	CHITWN	5	5		Yes
Profile	UP10TION		업텐션	2015-09-10	TOP Media	10	10	HONEY10	Yes
Profile	VANNER		배너	2019-02-14	VT	5	5		Yes
	Varsity		바시티	2017-01-05	GKC	12	12		Yes
Profile	VAV		브이에이브이	2015-10-31	A team	7	6		Yes
Profile	Verivery	VRVR	베리베리	2019-09-01	Jellyfish	7	7		Yes
	VERMUDA		버뮤다	2017-07-13	JJJ	5	5		Yes
Profile	VICTON		빅톤	2016-11-09	Plan A	6	7	Alice	Yes
Profile	VIXX		빅스	2012-05-24	Jellyfish	4	6	Starlight	Yes
	VOISPER		보이스퍼	2016-02-23	Evermore	4	4		Yes
	VROMANCE		브로맨스	2016-06-12	RBW	4	4		Yes
Profile	Wanna One		워너원	2017-08-07	YMC	11	11	Wannable	No
Profile	We In The Zone		위인더존	2019-05-27	Choon	5	5		No
	WE:A		위아	2023-03-29	Madewell	4	4		Yes
Profile	Wei		위아이	2020-10-05	OUI	6	6		Yes
	WEUS		위어스	2023-04-03	WEUS	7	8		Yes
Profile	WINNER		위너	2014-08-12	YG	4	5	Ace	Yes
	WOW		와우	2021-03-08	A.CONIC	7	7		Yes
	Xdinary Heroes		엑스디너리 히어로즈	2021-12-06	JYP	6	6		Yes
	XEED		씨드	2022-12-01	Nature Space	3	4	GREENY	Yes
	XENEX		제넥스	2020-02-26	GiEok	5	5		Yes
Profile	xikers		싸이커스	2023-03-30	KQ	10	10		Yes
	XODIAC		소디엑	2023-03-25	One Cool Jacso	9	9		Yes
Profile	YOUNITE		유나이트	2022-04-20	Brand New	9	9	YOUNIZ	Yes
	ZE:A		제국의 아이들	2010-01-07	Star Empire	9	9	ZE:A Style	Hiatus
Profile	ZEROBASEONE	ZB1	제로베이스원	2023-07-10	WakeOne	9	9		Yes